419
  1.92501581799167912e-09  8.41384761516424000e+16
  2.19652750037830494e-09  8.41652916943652800e+16
  2.52021975461535900e-09  8.41940452532099680e+16
  2.68206588173388707e-09  8.42073456071792800e+16
  2.84391200885241471e-09  8.42200274433277440e+16
  3.00575813597094236e-09  8.42321521442073440e+16
  3.32945039020780700e-09  8.42549298021433280e+16
  3.65314264444467039e-09  8.42760227540076160e+16
  4.13868102580055815e-09  8.43050495787057600e+16
  4.62421940715624491e-09  8.43315082121581440e+16
  4.94791166139330104e-09  8.43479585031235360e+16
  5.42278361476904646e-09  8.43706224080088000e+16
  5.89765556814478939e-09  8.43917799522245280e+16
  6.37252752152049924e-09  8.44116442037337920e+16
  6.84739947489620247e-09  8.44303851252908000e+16
  7.32227142827189743e-09  8.44481405432915360e+16
  7.79714338164759487e-09  8.44650237862925760e+16
  8.74688728839906420e-09  8.44965292379706880e+16
  9.22175924177478066e-09  8.45113058223408480e+16
  9.69663119515047728e-09  8.45255095691401440e+16
  1.06463751019019648e-08  8.45523888280373280e+16
  1.15961190086534573e-08  8.45775015670489920e+16
  1.27832988920931166e-08  8.46067888091100160e+16
  1.36584802163571507e-08  8.46270889509540640e+16
  1.45336615406212278e-08  8.46464284070464320e+16
  1.58464335270172898e-08  8.46738490427574240e+16
  1.71592055134133517e-08  8.46996067505424960e+16
  1.84719774998094864e-08  8.47239211997012960e+16
  2.06599308104693062e-08  8.47617010823167520e+16
  2.32854747832605830e-08  8.48032715852444320e+16
  2.46857649020835915e-08  8.48240331609846400e+16
  2.60860550209066033e-08  8.48439372638617120e+16
  2.92367077882570514e-08  8.48859764564288000e+16
  3.13371429664920918e-08  8.49121800897269440e+16
  3.34375781447271290e-08  8.49371204131840320e+16
  3.57624240064708841e-08  8.49634165141469760e+16
  3.92496927990873075e-08  8.50005998494902560e+16
  4.27369615917054383e-08  8.50354374368573280e+16
  4.74071912406190650e-08  8.50789730632264800e+16
  5.20774208895327380e-08  8.51194843343828160e+16
  5.67476505384486344e-08  8.51574315046012480e+16
  6.02503227751346899e-08  8.51844297266377280e+16
  6.37529950118206726e-08  8.52103131624126080e+16
  7.07583394851952982e-08  8.52591380576612640e+16
  7.77636839585673297e-08  8.53046018368002400e+16
  8.82067724799065113e-08  8.53672199967257600e+16
  9.51688314941300163e-08  8.54061043544875680e+16
  1.02130890508351338e-07  8.54430353244796960e+16
  1.09963206899355783e-07  8.54825348263037600e+16
  1.17795523290357900e-07  8.55201267156663680e+16
  1.26498097058137939e-07  8.55599255601313280e+16
  1.42162729840146831e-07  8.56270725945550720e+16
  1.52605818361486754e-07  8.56691018490326240e+16
  1.63626192510953667e-07  8.57114082954590560e+16
  1.75223852288548471e-07  8.57539236635245280e+16
  1.92620341954941192e-07  8.58143243822581120e+16
  2.07117416676926617e-07  8.58619383327538080e+16
  2.33856465608601662e-07  8.59441663557613920e+16
  2.58340414027966952e-07  8.60139798466163360e+16
  2.73803960398092457e-07  8.60557387086550080e+16
  2.96902263059639400e-07  8.61151517828575200e+16
  3.19952057274365089e-07  8.61712857139277760e+16
  3.50685116227353533e-07  8.62418457381699360e+16
  3.89101439918571115e-07  8.63241091132103040e+16
  4.38562456671023306e-07  8.64218653302978880e+16
  4.80820412731362815e-07  8.64992828387060640e+16
  5.42705885776583386e-07  8.66042237311156320e+16
  5.85859054671828618e-07  8.66723595486467520e+16
  6.37680393295079570e-07  8.67495019767095040e+16
  7.14405625679962436e-07  8.68556806525096160e+16
  7.71180392325249581e-07  8.69289621440498560e+16
  8.25582784664531969e-07  8.69955262870337440e+16
  9.05458114486084412e-07  8.70875818270727520e+16
  9.63681971588323370e-07  8.71509333013959200e+16
